REPORTER ID 	miRNA ID
A_25_P00011628	hsa-miR-613
A_25_P00010533	hsa-miR-614
A_25_P00012791	hsa-miR-615-3p
A_25_P00012786	hsa-miR-615-5p
A_25_P00012795	hsa-miR-616
A_25_P00011585	hsa-miR-616*
A_25_P00010772	hsa-miR-617
A_25_P00011280	hsa-miR-618
A_25_P00011293	hsa-miR-619
A_25_P00010450	hsa-miR-620
A_25_P00011311	hsa-miR-621
A_25_P00010806	hsa-miR-622
A_25_P00010226	hsa-miR-623
A_25_P00012805	hsa-miR-624
A_25_P00011054	hsa-miR-624*
A_25_P00012810	hsa-miR-625
A_25_P00013643	hsa-miR-625*
A_25_P00010096	hsa-miR-626
A_25_P00011031	hsa-miR-627
A_25_P00012818	hsa-miR-628-3p
A_25_P00012814	hsa-miR-628-5p
A_25_P00012823	hsa-miR-629
A_25_P00010831	hsa-miR-629*
A_25_P00010248	hsa-miR-630
A_25_P00010826	hsa-miR-631
A_25_P00011019	hsa-miR-632
A_25_P00011641	hsa-miR-633
A_25_P00010913	hsa-miR-634
A_25_P00011414	hsa-miR-635
A_25_P00012829	hsa-miR-636
A_25_P00011271	hsa-miR-637
A_25_P00010402	hsa-miR-638
A_25_P00011256	hsa-miR-639
A_25_P00010371	hsa-miR-640
A_25_P00011383	hsa-miR-641
A_25_P00011338	hsa-miR-642
A_25_P00011362	hsa-miR-643
A_25_P00011403	hsa-miR-644
A_25_P00010993	hsa-miR-645
A_25_P00010781	hsa-miR-646
A_25_P00011370	hsa-miR-647
A_25_P00010223	hsa-miR-648
A_25_P00011375	hsa-miR-649
A_25_P00010917	hsa-miR-650
A_25_P00011327	hsa-miR-651
A_25_P00012833	hsa-miR-652
A_25_P00012846	hsa-miR-653
A_25_P00012855	hsa-miR-654-3p
A_25_P00011960	hsa-miR-654-5p
A_25_P00011227	hsa-miR-655
A_25_P00014346	hsa-miR-656
A_25_P00011359	hsa-miR-657
A_25_P00011946	hsa-miR-658
A_25_P00011100	hsa-miR-659
