"##For information about the Annotation file content,  please see the bundled README file."		
#%create_date=2009-11-13 GMT-08:00 20:57:17		
#%chip_type=HT_HG-U133A		
#%genome-species=Homo sapiens		
#%genome-version=hg19		
#%genome-version-ucsc=hg19		
#%genome-version-ncbi=GRCh37		
#%genome-version-create_date=2009-02-00		
#%netaffx-annotation-date=2009-11-23		
#%netaffx-annotation-netaffx-build=30		
#%netaffx-annotation-tabular-format-version=1.0		
Probe Set ID	Gene Symbol	Entrez Gene
201227_s_at	NDUFB8	4714
201228_s_at	ARIH2	10425
201229_s_at	ARIH2	10425
201230_s_at	ARIH2	10425
201231_s_at	ENO1	2023
201232_s_at	PSMD13	5719
201233_at	PSMD13	5719
201234_at	ILK	3611
201235_s_at	BTG2	7832
201236_s_at	BTG2	7832
201237_at	CAPZA2	830
201238_s_at	CAPZA2	830
201239_s_at	LOC653566 /// SPCS2	653566 /// 9789
201240_s_at	LOC653566 /// SPCS2	653566 /// 9789
201241_at	DDX1	1653
201242_s_at	ATP1B1	481
201243_s_at	ATP1B1	481
201244_s_at	RAF1	5894
201245_s_at	OTUB1	55611
201246_s_at	OTUB1	55611
201247_at	SREBF2	6721
201248_s_at	SREBF2	6721
201249_at	SLC2A1	6513
201250_s_at	SLC2A1	6513
201251_at	PKM2	5315
201252_at	PSMC4	5704
201253_s_at	CDIPT	10423
201254_x_at	RPS6	6194
201255_x_at	BAT3	7917
201256_at	COX7A2L	9167
201257_x_at	RPS3A	6189
201258_at	RPS16	6217
201259_s_at	SYPL1	6856
201260_s_at	SYPL1	6856
